candidate,recovery_mean,recovery_start,recovery_end,cogs_mix,submission,revenue_mean,cogs_mean,profit_mean
recovery_accel_122_cogs102,1.22,1.11,1.33,1.02,data\output\submission_recovery_accel_122_cogs102.csv,4336361.380063021,3604480.8960611885,731880.4840018322
recovery_accel_122_cogs103,1.22,1.11,1.33,1.03,data\output\submission_recovery_accel_122_cogs103.csv,4336361.380063021,3639818.9440617883,696542.4360012324
recovery_accel_122_cogs104,1.22,1.11,1.33,1.04,data\output\submission_recovery_accel_122_cogs104.csv,4336361.380063021,3675156.9920623885,661204.3880006323
recovery_accel_122_cogs105,1.22,1.11,1.33,1.05,data\output\submission_recovery_accel_122_cogs105.csv,4336361.380063021,3710495.0400629886,625866.3400000326
recovery_accel_123_cogs102,1.23,1.115,1.345,1.02,data\output\submission_recovery_accel_123_cogs102.csv,4372228.347965698,3634292.36746478,737935.9805009187
recovery_accel_123_cogs103,1.23,1.115,1.345,1.03,data\output\submission_recovery_accel_123_cogs103.csv,4372228.347965698,3669922.684792865,702305.6631728326
recovery_accel_123_cogs104,1.23,1.115,1.345,1.04,data\output\submission_recovery_accel_123_cogs104.csv,4372228.347965698,3705553.0021209517,666675.3458447465
recovery_accel_123_cogs105,1.23,1.115,1.345,1.05,data\output\submission_recovery_accel_123_cogs105.csv,4372228.347965698,3741183.3194490373,631045.0285166604
recovery_accel_124_cogs102,1.2400000000000002,1.12,1.36,1.02,data\output\submission_recovery_accel_124_cogs102.csv,4408095.315868376,3664103.8388683703,743991.4770000054
recovery_accel_124_cogs103,1.2400000000000002,1.12,1.36,1.03,data\output\submission_recovery_accel_124_cogs103.csv,4408095.315868376,3700026.4255239433,708068.8903444331
recovery_accel_124_cogs104,1.2400000000000002,1.12,1.36,1.04,data\output\submission_recovery_accel_124_cogs104.csv,4408095.315868376,3735949.012179516,672146.3036888608
recovery_accel_124_cogs105,1.2400000000000002,1.12,1.36,1.05,data\output\submission_recovery_accel_124_cogs105.csv,4408095.315868376,3771871.5988350874,636223.7170332884
recovery_accel_125_cogs102,1.25,1.12,1.38,1.02,data\output\submission_recovery_accel_125_cogs102.csv,4444356.37081169,3694240.496423731,750115.8743879593
recovery_accel_125_cogs103,1.25,1.12,1.38,1.03,data\output\submission_recovery_accel_125_cogs103.csv,4444356.37081169,3730458.540506316,713897.8303053736
recovery_accel_125_cogs104,1.25,1.12,1.38,1.04,data\output\submission_recovery_accel_125_cogs104.csv,4444356.37081169,3766676.584588902,677679.7862227879
recovery_accel_125_cogs105,1.25,1.12,1.38,1.05,data\output\submission_recovery_accel_125_cogs105.csv,4444356.37081169,3802894.6286714873,641461.7421402024
recovery_accel_126_cogs102,1.26,1.13,1.39,1.02,data\output\submission_recovery_accel_126_cogs102.csv,4479829.25167373,3723726.7816755525,756102.4699981784
recovery_accel_126_cogs103,1.26,1.13,1.39,1.03,data\output\submission_recovery_accel_126_cogs103.csv,4479829.25167373,3760233.9069860964,719595.3446876337
recovery_accel_126_cogs104,1.26,1.13,1.39,1.04,data\output\submission_recovery_accel_126_cogs104.csv,4479829.25167373,3796741.0322966413,683088.2193770892
recovery_accel_126_cogs105,1.26,1.13,1.39,1.05,data\output\submission_recovery_accel_126_cogs105.csv,4479829.25167373,3833248.157607186,646581.0940665446
recovery_accel_127_cogs102,1.27,1.135,1.405,1.02,data\output\submission_recovery_accel_127_cogs102.csv,4515696.219576408,3753538.2530791434,762157.966497265
recovery_accel_127_cogs103,1.27,1.135,1.405,1.03,data\output\submission_recovery_accel_127_cogs103.csv,4515696.219576408,3790337.6477171746,725358.5718592342
recovery_accel_127_cogs104,1.27,1.135,1.405,1.04,data\output\submission_recovery_accel_127_cogs104.csv,4515696.219576408,3827137.042355205,688559.1772212035
recovery_accel_127_cogs105,1.27,1.135,1.405,1.05,data\output\submission_recovery_accel_127_cogs105.csv,4515696.219576408,3863936.436993236,651759.7825831725
