Feature,Gain,Weight,Cover,XGBContribution,Permutation,Target,CompositeImportance,BusinessMeaning
daily_promo_order_count_roll7,1.1925468444824219,107.0,1849.541015625,0.04736889,0.06384224593639373,COGS_Ratio,0.9054187192118228,nhu cầu lịch sử và tính mùa vụ
daily_discount_depth_roll7,1.0549134016036987,147.0,799.261962890625,0.036094245,0.05673665776848793,COGS_Ratio,0.7383100307177123,nhu cầu lịch sử và tính mùa vụ
promo_penetration_rate_roll7,0.424021452665329,203.0,1206.046142578125,0.033605084,0.04926701337099075,COGS_Ratio,0.6977542116851823,nhu cầu lịch sử và tính mùa vụ
daily_discount_amount_roll7,1.06219482421875,61.0,759.90966796875,0.0152193755,0.024282491579651833,COGS_Ratio,0.4607394278466397,nhu cầu lịch sử và tính mùa vụ
daily_discount_depth_lag365,0.3403840959072113,158.0,988.3157348632812,0.016052715,0.021620885655283927,COGS_Ratio,0.4551314027839991,nhu cầu lịch sử và tính mùa vụ
days_until_holiday,0.028011461719870567,202.0,1248.4168701171875,0.0059520523,0.007890921458601952,COGS_Ratio,0.3885607123439404,"hiệu ứng lịch, mùa vụ ngắn hạn và ngày đặc biệt"
daily_expected_margin_mix_roll30,0.008256050758063793,195.0,635.1702270507812,0.0041063298,0.005352227948606014,COGS_Ratio,0.2962916333873879,nhu cầu lịch sử và tính mùa vụ
aov_roll7,0.23914094269275665,64.0,934.1813354492188,0.004521381,0.004806604515761137,COGS_Ratio,0.23832558790823438,nhu cầu lịch sử và tính mùa vụ
daily_promo_line_count_roll7,0.18692290782928467,59.0,703.69140625,0.0055161705,0.008676767908036708,COGS_Ratio,0.21604239339759332,nhu cầu lịch sử và tính mùa vụ
promo_penetration_rate_roll30,0.027275260537862778,127.0,585.018798828125,0.001864022,0.002924495842307806,COGS_Ratio,0.2099902796348112,nhu cầu lịch sử và tính mùa vụ
daily_expected_margin_mix_roll7,0.002801245078444481,137.0,600.7515258789062,0.000762292,0.0011722315801307559,COGS_Ratio,0.20729819923416043,nhu cầu lịch sử và tính mùa vụ
day_of_year,0.030543223023414612,130.0,452.10162353515625,0.002055607,0.0031499085016548634,COGS_Ratio,0.2006360805141008,"hiệu ứng lịch, mùa vụ ngắn hạn và ngày đặc biệt"
regional_revenue_concentration_index_roll7,0.0014003418618813157,102.0,767.3529663085938,0.0005809632,0.0008430457208305597,COGS_Ratio,0.18879908308800755,nhu cầu lịch sử và tính mùa vụ
high_intent_traffic_share_roll7,0.001149850315414369,84.0,928.2882080078125,0.00055650534,0.0006953454576432705,COGS_Ratio,0.18785983628301434,nhu cầu lịch sử và tính mùa vụ
covid_intensity_lag365,0.06690900772809982,12.0,1338.5582275390625,0.0016334644,0.002069099387153983,COGS_Ratio,0.18116745862718323,nhu cầu lịch sử và tính mùa vụ
daily_mobile_order_ratio_roll30,0.0016198873054236174,126.0,472.33251953125,0.00042958636,0.0007471455493941904,COGS_Ratio,0.17963963684574635,nhu cầu lịch sử và tính mùa vụ
city_encoded_lag365,0.014412637799978256,86.0,701.7117309570312,0.0017169415,0.002579947886988521,COGS_Ratio,0.1783572316109793,nhu cầu lịch sử và tính mùa vụ
daily_mobile_order_ratio_lag30,0.0011340457713231444,127.0,418.03082275390625,0.00018322893,0.00040243942639790476,COGS_Ratio,0.17255143433799214,nhu cầu lịch sử và tính mùa vụ
financing_intensity_index_lag365,0.0011769960401579738,107.0,585.0868530273438,0.0003252869,0.0005220132297836244,COGS_Ratio,0.17189318308839424,nhu cầu lịch sử và tính mùa vụ
daily_discount_depth_lag7,0.07980061322450638,55.0,693.3345336914062,0.003451854,0.004574157018214464,COGS_Ratio,0.17144801484473,nhu cầu lịch sử và tính mùa vụ
avg_delivery_days_lag7,0.0008117448887787759,96.0,636.4166870117188,0.00035099348,0.0004827067139558494,COGS_Ratio,0.1665304386951187,nhu cầu lịch sử và tính mùa vụ
category_reason_weighted_return_risk_lag365,0.0013028025859966874,78.0,801.1307373046875,0.00032495765,0.00045450741308741274,COGS_Ratio,0.16649187786001787,nhu cầu lịch sử và tính mùa vụ
new_customer_aov_lag30,0.0008672325639054179,76.0,807.3130493164062,0.00044735667,0.0005556405754759908,COGS_Ratio,0.1659505224995207,nhu cầu lịch sử và tính mùa vụ
payment_method_cancellation_risk_lag7,0.0014436709461733699,97.0,609.4485473632812,0.00036528485,0.0005928846541792155,COGS_Ratio,0.16511093915330535,nhu cầu lịch sử và tính mùa vụ
daily_discount_amount_lag7,0.027198003605008125,75.0,614.367919921875,0.0024159614,0.00306730424053967,COGS_Ratio,0.164697227629872,nhu cầu lịch sử và tính mùa vụ
daily_mobile_order_ratio_lag7,0.0009539168095216155,108.0,500.80914306640625,0.0002793901,0.0005349254235625267,COGS_Ratio,0.16357429346282845,nhu cầu lịch sử và tính mùa vụ
daily_stockout_rate_lag30,0.0009380900883115828,100.0,567.7919311523438,0.00027930233,0.0005160111002624034,COGS_Ratio,0.16287342133690688,nhu cầu lịch sử và tính mùa vụ
upt_lag30,0.0009417813853360713,99.0,544.2908935546875,0.0003937846,0.0005748020950704813,COGS_Ratio,0.1600150762447881,nhu cầu lịch sử và tính mùa vụ
wt_bounce_rate_roll7,0.0009598800679668784,100.0,523.0889282226562,0.00028463732,0.0004736561910249293,COGS_Ratio,0.1579329585107542,nhu cầu lịch sử và tính mùa vụ
daily_expected_margin_mix_lag30,0.0012489809887483716,98.0,518.8225708007812,0.00050637894,0.0008184814476408064,COGS_Ratio,0.15756613227721505,nhu cầu lịch sử và tính mùa vụ
financing_intensity_index_lag7,0.0008722544298507273,118.0,352.6686096191406,0.00014880682,0.00034865802736021577,COGS_Ratio,0.15625877747516256,nhu cầu lịch sử và tính mùa vụ
legacy_aov_roll7,0.08855199068784714,58.0,632.3794555664062,0.0019243733,0.0016355230240151287,COGS_Ratio,0.1536247627003487,nhu cầu lịch sử và tính mùa vụ
wt_unique_visitors_lag365,0.0010238937102258205,37.0,1008.07568359375,0.00042920042,0.000602881028316915,COGS_Ratio,0.14933393740817064,nhu cầu lịch sử và tính mùa vụ
promo_penetration_rate_lag365,0.06279755383729935,50.0,685.7100219726562,0.0018686613,0.0022967102471739055,COGS_Ratio,0.149026743637034,nhu cầu lịch sử và tính mùa vụ
